"citizen","time","value"
"Other countries",2008-11-01,5690
"Other countries",2008-12-01,5600
"Other countries",2009-01-01,8400
"Other countries",2009-02-01,8670
"Other countries",2009-03-01,9325
"Other countries",2009-04-01,8280
"Other countries",2009-05-01,7455
"Other countries",2009-06-01,7665
"Other countries",2009-07-01,7920
"Other countries",2009-08-01,6980
"Other countries",2009-09-01,7930
"Other countries",2009-10-01,8720
"Other countries",2009-11-01,8515
"Other countries",2009-12-01,8065
"Other countries",2010-01-01,7345
"Other countries",2010-02-01,8170
"Other countries",2010-03-01,8615
"Other countries",2010-04-01,6880
"Other countries",2010-05-01,7190
"Other countries",2010-06-01,7485
"Other countries",2010-07-01,7395
"Other countries",2010-08-01,7825
"Other countries",2010-09-01,9075
"Other countries",2010-10-01,10105
"Other countries",2010-11-01,9295
"Other countries",2010-12-01,8555
